city,confirmed,cured,dead,suspected,time
武汉,8351,374,362,0,"2020-02-05, 06:38:40"
黄冈,1645,52,25,0,"2020-02-05, 06:38:40"
孝感,1462,6,18,0,"2020-02-05, 06:38:40"
襄阳,735,7,2,0,"2020-02-05, 06:38:40"
荆州,713,12,9,0,"2020-02-05, 06:38:40"
随州,706,9,8,0,"2020-02-05, 06:38:40"
黄石,509,23,2,0,"2020-02-05, 06:38:40"
宜昌,496,9,4,0,"2020-02-05, 06:38:40"
荆门,422,16,16,0,"2020-02-05, 06:38:40"
咸宁,384,2,0,0,"2020-02-05, 06:38:40"
鄂州,382,6,18,0,"2020-02-05, 06:38:40"
十堰,318,9,0,0,"2020-02-05, 06:38:40"
仙桃,225,0,4,0,"2020-02-05, 06:38:40"
恩施州,138,10,0,0,"2020-02-05, 06:38:40"
天门,128,0,10,0,"2020-02-05, 06:38:40"
潜江,54,0,1,0,"2020-02-05, 06:38:40"
神农架林区,10,2,0,0,"2020-02-05, 06:38:40"
