city,confirmed,cured,dead,time
武汉,10117,455,414,"2020-02-06, 07:28:31"
孝感,1886,30,25,"2020-02-06, 07:28:31"
黄冈,1807,62,29,"2020-02-06, 07:28:31"
随州,834,9,9,"2020-02-06, 07:28:31"
荆州,801,19,10,"2020-02-06, 07:28:31"
襄阳,787,25,2,"2020-02-06, 07:28:31"
黄石,566,25,2,"2020-02-06, 07:28:31"
宜昌,563,9,6,"2020-02-06, 07:28:31"
荆门,508,21,17,"2020-02-06, 07:28:31"
鄂州,423,8,18,"2020-02-06, 07:28:31"
咸宁,399,5,1,"2020-02-06, 07:28:31"
十堰,353,20,0,"2020-02-06, 07:28:31"
仙桃,265,11,5,"2020-02-06, 07:28:31"
恩施州,144,10,0,"2020-02-06, 07:28:31"
天门,138,1,10,"2020-02-06, 07:28:31"
潜江,64,0,1,"2020-02-06, 07:28:31"
神农架林区,10,2,0,"2020-02-06, 07:28:31"
