cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
仙桃,500,58,425,17,2020-02-14
十堰,586,89,495,2,2020-02-14
咸宁,732,99,625,8,2020-02-14
天门,416,21,385,10,2020-02-14
孝感,3009,255,2697,57,2020-02-14
宜昌,877,82,782,13,2020-02-14
恩施州,237,60,173,4,2020-02-14
武汉,35991,2023,32952,1016,2020-02-14
潜江,104,11,88,5,2020-02-14
神农架林区,10,8,2,0,2020-02-14
荆州,1447,163,1257,27,2020-02-14
荆门,901,105,771,25,2020-02-14
襄阳,1111,73,1022,16,2020-02-14
鄂州,1125,116,977,32,2020-02-14
随州,1206,72,1118,16,2020-02-14
黄冈,2791,528,2204,59,2020-02-14
黄石,943,137,795,11,2020-02-14
