cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,497,57,21,2020-03-07
Shiyan,十堰,672,553,111,8,2020-03-07
Xianning,咸宁,836,794,28,14,2020-03-07
Tianmen,天门,496,451,30,15,2020-03-07
Xiaogan,孝感,3518,2972,423,123,2020-03-07
Yichang,宜昌,931,707,191,33,2020-03-07
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,231,15,6,2020-03-07
Wuhan,武汉,49871,28536,18986,2349,2020-03-07
Qianjiang,潜江,198,160,29,9,2020-03-07
Shennongjia,神农架林区,11,11,0,0,2020-03-07
Jingzhou,荆州,1580,1351,181,48,2020-03-07
Jingmen,荆门,928,728,161,39,2020-03-07
Xiangyang,襄阳,1175,1040,99,36,2020-03-07
Ezhou,鄂州,1394,956,384,54,2020-03-07
Suizhou,随州,1307,1048,216,43,2020-03-07
Huanggang,黄冈,2907,2582,200,125,2020-03-07
Huangshi,黄石,1015,883,96,36,2020-03-07
